company_name,email,phone_number
TechCorp Solutions,info@techcorp.com,+1-555-123-4567
Global Innovations Inc,contact@globalinnovations.com,(555) 987-6543
Digital Dynamics,hello@digitaldynamics.io,555-456-7890
WebWorks Agency,support@webworks.dev,+44 20 7946 0958
DataSystems Ltd,sales@datasystems.com,+61 2 9876 5432
CloudNet Services,admin@cloudnet.services,555-111-2222
SoftTech Enterprises,info@softtech.biz,555-333-4444
NetSolutions Group,contact@netsolutions.group,555-555-6666
InfoTech Partners,hello@infotech.partners,555-777-8888
SmartSystems Co,support@smartsystems.co,555-999-0000
FutureTech Labs,sales@futuretech.labs,555-222-3333
CyberSecure Inc,security@cybersecure.io,555-444-5555
AppWorks Studio,dev@appworks.studio,555-666-7777
CodeCrafters LLC,team@codecrafters.dev,555-888-9999 
